Posicion,Nombre,Puntuación,Portugal,Argentina,Estados Unidos,España,Francia,Italia,Alemania,Países Bajos,Gran Bretaña,Austria,España_cataluña,San Marino,India,Japón,Indonesia,Australia,Tailandia,Malasia,Qatar,España_Jerez
1º,Francesco Bagnaia,251,37,4,12,34,7,37,29,34,20,37,0,-,-,-,-,-,-,-,-,-
2º,Jorge Martín,189,9,13,7,19,32,27,37,15,14,16,0,-,-,-,-,-,-,-,-,-
3º,Marco Bezzecchi,183,16,34,14,1,28,17,16,32,9,16,0,-,-,-,-,-,-,-,-,-
4º,Brad Binder,160,10,12,8,32,19,11,4,18,17,29,0,-,-,-,-,-,-,-,-,-
5º,Johann Zarco,125,15,20,9,2,20,22,21,0,13,3,0,-,-,-,-,-,-,-,-,-
6º,Luca Marini,120,0,15,23,10,6,18,17,9,9,13,0,-,-,-,-,-,-,-,-,-
7º,Aleix Espargaró,117,11,1,6,11,13,12,1,22,30,10,0,-,-,-,-,-,-,-,-,-
8º,Jack Miller,96,15,10,1,23,0,13,17,0,11,6,0,-,-,-,-,-,-,-,-,-
9º,Álex Márquez,92,12,21,0,8,0,0,11,11,12,17,0,-,-,-,-,-,-,-,-,-
10º,Maverick Viñales,86,25,7,13,3,1,4,0,3,18,12,0,-,-,-,-,-,-,-,-,-
11º,Fabio Quartararo,73,8,10,16,6,9,5,3,7,1,8,0,-,-,-,-,-,-,-,-,-
12º,Franco Morbidelli,65,2,19,8,5,6,6,4,7,2,6,0,-,-,-,-,-,-,-,-,-
13º,Augusto Fernández,51,3,5,6,3,13,1,5,6,7,2,0,-,-,-,-,-,-,-,-,-
14º,Alex Rins,47,6,7,34,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15º,Miguel Oliveira,40,3,-,13,5,-,0,6,0,13,0,0,-,-,-,-,-,-,-,-,-
16º,Fabio Di Giannantonio,37,0,6,7,4,8,2,7,0,3,0,0,-,-,-,-,-,-,-,-,-
17º,Takaaki Nakagami,35,4,3,1,7,7,3,2,8,0,0,0,-,-,-,-,-,-,-,-,-
18º,Enea Bastianini,24,0,-,-,0,-,8,8,2,0,6,0,-,-,-,-,-,-,-,-,-
19º,Marc Márquez,19,7,-,-,-,5,3,0,0,0,4,0,-,-,-,-,-,-,-,-,-
20º,Raúl Fernández,15,1,2,0,1,-,0,1,4,6,0,0,-,-,-,-,-,-,-,-,-
21º,Dani Pedrosa,13,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22º,Jonas Folger,9,-,-,4,0,3,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-
23º,Lorenzo Savadori,9,-,-,-,-,4,0,-,5,-,0,-,-,-,-,-,-,-,-,-,-
24º,Pol Espargaró,8,0,-,-,-,-,-,-,-,4,4,0,-,-,-,-,-,-,-,-,-
25º,Stefan Bradl,7,-,-,2,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
26º,Joan Mir,5,5,0,0,0,0,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-
27º,Michele Pirro,5,-,-,5,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28º,Danilo Petrucci,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29º,Iker Lecuona Gascón,0,-,-,-,0,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-
